龙山新新小镇,怀柔-怀柔-京承高速,116.64203,40.292198,30106,↓0.74%,419,8,暂无数据,2.20元/平米/月,360000m²,1000户,2007年,充1；1.1,0.47,50%(高),北京万通龙山置业有限公司,北京万通鼎安国际物业管理顾问有限公司,
小中富乐2区,怀柔-怀柔-迎宾路,116.641251,40.344028,32467,↓8.89%,18,3,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2000年,车位充足,2,30%(一般),暂无数据,业主自管,
家天下,怀柔-怀柔-富乐大街26号,116.638425,40.347125,40915,↑4.21%,45,8,暂无数据,0.88元/平米/月,30000m²,532户,2001年,充足,1.6,40%(高),北京同方星城置业有限公司,居民自管委,
丽湖嘉园,怀柔-怀柔-南关街,116.636712,40.309044,30912,↓19.49%,3,48,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2008年,暂无数据,1.38,49%(高),北京宏怀房地产开发有限公司,居民自管委,怀柔中心小学,
万通龙山逸墅,怀柔-怀柔-庙城路28号,116.636476,40.290741,28241,↓1.19%,31,0,暂无数据,1.50元/平米/月,51017m²,158户,2012年,158,0.63,30%(一般),北京万通龙山天地置业有限公司,北京万通鼎安国际物业服务有限公司,
丽湖馨居,怀柔-怀柔-南华大街31号,116.633387,40.315471,46259,↑1.07%,34,11,暂无数据,1.00元/平米/月,50000m²,708户,2001年,充足,1.29,25%(一般),北京宏怀房地产开发有限公司,北京新正大物业管理公司,怀柔中心小学,
东苑小区,怀柔-怀柔-迎宾中路12号,116.64479,40.320479,37190,↓3.18%,37,10,暂无数据,1.20元/平米/月,暂无数据,暂无数据,1999年,50,1.5,30%(一般),无,居民自管委,怀柔三小,
金台园小区,怀柔-怀柔-迎宾北路,116.650155,40.330975,37530,↓2.80%,65,20,暂无数据,0.88元/平米/月,8000m²,300户,2006年,充足,2,35%(一般),北京市朝阳区城市建设综合开发公司,北京恒安物业管理有限公司,怀柔一小,
东关二区,怀柔-怀柔-开放路,116.649608,40.31811,34308,↓3.67%,109,46,暂无数据,1.12元/平米/月,暂无数据,暂无数据,1998年,暂无数据,1.6,30%(一般),北京城建兴华地产有限公司,昌平房地产开发公司物业部,怀柔中心小学,
怡安园,怀柔-怀柔-庙高路,116.653621,40.296561,31367,↑0.01%,44,14,暂无数据,0.50元/平米/月,10000m²,暂无数据,2006年,充足,1.8,35%(一般),北京宏大兴业房地产开发有限公司,居民自管委,
南华园四区,怀柔-怀柔-南华大街,116.636404,40.312143,34872,↓3.10%,190,30,暂无数据,0.60元/平米/月,20000m²,2000户,1999年,售5-6万/位,1.7,15%(低),北京安居住房股份有限公司,新正大物业公司,怀柔一小,
美丽家园,怀柔-怀柔-开放路78号,116.652326,40.324477,33708,↓10.02%,45,8,暂无数据,1.12元/平米/月,40000m²,暂无数据,2000年,地上,1.4,32%(一般),无,居民自管委,
东园小区,怀柔-怀柔-北园东街,116.641966,40.330813,36899,↑0.25%,66,7,暂无数据,1.12元/平米/月,暂无数据,430户,2000年,车位充足,1.8,10%(低),北京安居住房股份有限公司,北京安居物业管理有限公司,怀柔一小,
顶秀美泉小镇A区,怀柔-怀柔-京加线,116.679837,40.376785,41769,↓4.14%,286,50,普通住宅,1.35元/平米/月,暂无数据,暂无数据,2009年,暂无数据,1.2,30%(一般),北京顶秀置业有限公司,北京鸿路泽物业管理有限公司,
府前东街9号院,怀柔-怀柔-府前东街9号,116.650328,40.323629,38390,↓1.73%,4,8,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,怀柔三小,
迎宾北路小区,怀柔-怀柔-迎宾北路,116.644884,40.32916,39617,↑3.16%,7,6,暂无数据,0.20元/平米/月,暂无数据,暂无数据,1998年,车位充足,1,30%(一般),中建华远房地产开发有限公司,业主自管,怀柔一小,
温阳小区,怀柔-怀柔-迎宾北路12号,116.64544,40.332339,33916,↓6.14%,19,8,暂无数据,暂无数据,暂无数据,暂无数据,2000年,车位充足,1.8,35%(一般),暂无数据,暂无数据,
兆龙居小区,怀柔-怀柔-环湖路,116.631564,40.326685,31261,↓3.06%,38,8,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2000年,60,暂无数据,30%(一般),无,居民自管委,光明小学怀柔分校,
南大街35号院,怀柔-怀柔-南大街35号,116.633924,40.318927,44321,↓1.68%,12,4,暂无数据,1.58元/平米/月,170000m²,1700户,2004年,地上150个，地下200个,1.7,30%(一般),北京紫金恒房地产开发有限公司,北京北电华明物业管理有限公司,光明小学怀柔分校,
翠竹园小区,怀柔-怀柔-迎宾北路,116.64534,40.336425,41810,↓2.25%,12,4,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,新正大物业管理有限公司,
博望苑,怀柔-怀柔-开放路,116.649511,40.338469,39474,↓0.24%,12,3,暂无数据,2.80元/平米/月,65000m²,暂无数据,2002年,车位充足,暂无数据,36%(一般),北京博望开发有限公司,北京安居物业管理有限公司,
于家园一区,怀柔-怀柔-开放路113号,116.64903,40.340272,36186,↑1.87%,45,14,暂无数据,0.30元/平米/月,24000m²,1500户,2000年,200,1.44,40%(高),北京宏怀房地产开发有限公司,北京新正大物业管理有限公司,怀柔一小,
塞班假日,怀柔-怀柔-青春路61号,116.635534,40.35107,32625,——,7,1,暂无数据,2.98元/平米/月,41000m²,114户,2004年,70加私家车库,0.64,65%(高),北京东升房地产开发有限公司,北京首欣物业管理有限公司,
富乐小区南里,怀柔-怀柔-北斜街,116.638649,40.338746,33797,↑2.82%,4,0,暂无数据,0.67元/平米/月,80000m²,暂无数据,2006年,150元/车位/月,0.8,30%(一般),暂无数据,居民自管委,
镜春园,怀柔-怀柔-南大街39号,116.632679,40.317337,45035,——,25,0,暂无数据,1.60元/平米/月,24210m²,暂无数据,2001年,70,1,35%(一般),北京合成房地产开发有限责任公司,中物联物业集团,光明小学怀柔分校,
金桥国际,怀柔-怀柔-南大街2号,116.643715,40.318696,34876,↓13.76%,7,37,暂无数据,1.80元/平米/月,7056m²,108户,2004年,地下机械式车位，租金150元/位·月,2,15%(低),北京慧友房地产开发有限责任公司,鹏志物业管理有限公司,怀柔中心小学,
益田国际梦工场,怀柔-怀柔-怀耿路,116.684134,40.296548,28042,↑21.31%,3,0,暂无数据,2.50元/平米/月,109828m²,195户,2014年,478,2.5,30%(一般),北京亿来置业有限公司,益田物业管理有限公司,
钓鱼台小区,怀柔-怀柔-兴怀大街,116.64598,40.328253,41365,↓4.92%,8,9,暂无数据,1.12元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.5,28%(一般),北京三鑫房地产开发有限公司,北京恒安物业管理有限公司,怀柔一小,
于家园三区,怀柔-怀柔-开放路97号,116.646024,40.334106,35902,↑1.04%,34,16,暂无数据,0.30元/平米/月,10000m²,暂无数据,1999年,充足,1.3,30%(一般),北京地铁房地产开发经营公司,北京力鸿物业管理有限公司,怀柔一小,
怡成园,怀柔-怀柔-兴怀大街20号,116.639056,40.326807,43492,↑28.68%,1,0,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
红螺湖别墅,怀柔-怀柔-红螺湖路8号,116.636978,40.367144,30088,↑0.37%,104,0,别墅,4.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,0.32,暂无数据,北京大地房地产开发有限责任公司,北京侨乐物业管理有限责任公司,
青春路小区,怀柔-怀柔-青春路,116.637382,40.328695,35744,↑2.90%,52,9,暂无数据,0.58元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,北京万怡光华物业管理有限公司,
于家园二区北院,怀柔-怀柔-开放路,近于家园路,116.649869,40.336879,37980,↑3.28%,11,1,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京宏怀房地产开发有限公司,北京新正大物业管理有限公司,
新贤家园,怀柔-怀柔-滨湖南街,116.640822,40.332527,41619,↓2.21%,137,28,暂无数据,1.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1.9,30%(一般),北京北控城市开发有限公司,北京北控物业管理有限公司,怀柔一小,
雁栖一品园,怀柔-怀柔-乐园大街,116.661165,40.351185,25476,↓7.36%,3,48,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
万通怀柔新新家园,怀柔-怀柔-迎宾路,116.643918,40.339249,24893,↑2.73%,12,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
康馨家园,怀柔-怀柔-南大街,116.641193,40.319545,41553,↑2.80%,33,20,暂无数据,1.56元/平米/月,暂无数据,暂无数据,1995年,车位充足,1.8,30%(一般),无,博旺家园物业,怀柔三小,
怀柔龙湖花园,怀柔-怀柔-西园小街,116.633346,40.328248,31407,↓8.48%,85,7,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京大地房地产开发有限责任公司,北京大地物业管理有限责任公司,光明小学怀柔分校,
香水城北区,怀柔-怀柔-杨艳路,116.682237,40.294301,29134,↑4.82%,27,0,暂无数据,3.60元/平米/月,暂无数据,暂无数据,2006年,暂无数据,0.45,40%(高),北京凤桐祥瑞房地产开发有限公司,北京金罗马物业管理有限公司,
南华园二区,怀柔-怀柔-南大街,116.634275,40.316386,33782,↓5.10%,51,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1983年,暂无数据,1.7,15%(低),北京安居住房股份有限公司,北京安居物业管理有限公司,怀柔一小,
青春路1号院,怀柔-怀柔-青春路1号,116.634973,40.319436,35635,↓3.64%,33,11,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
富乐小区北里,怀柔-怀柔-北斜街,116.640503,40.341489,35857,↓1.81%,151,7,暂无数据,2.00元/平米/月,21000m²,500户,2000年,地上车位,0.8,30%(一般),暂无数据,暂无数据,
泉河园二区,怀柔-怀柔-开放路,116.653495,40.335731,39721,↓0.23%,90,7,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,车位充足,1.6,30%(一般),北京海开房地产股份有限公司,北京安居物业管理有限公司,
于家园二区南院,怀柔-怀柔-开放路,116.649918,40.335425,32211,↓10.84%,31,4,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京宏怀房地产开发有限公司,北京新正大物业管理有限公司,
于家园二区,怀柔-怀柔-开放路,116.647733,40.33658,37820,↑0.84%,152,34,暂无数据,0.35元/平米/月,暂无数据,1500户,1999年,地上车位150元/月，车位充足,1.5,30%(一般),北京宏怀房地产开发有限公司,北京新正大物业管理公司,怀柔一小,
小中富乐,怀柔-怀柔-北大街,116.641864,40.34629,32544,↓8.69%,5,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
府前东街1号院,怀柔-怀柔-府前东街1号,116.655109,40.324372,35164,↓2.51%,3,1,暂无数据,0.56元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,32%(一般),无,居民自管委,
育龙铭居,怀柔-怀柔-乐园大街,116.662965,40.354146,31818,↑1.86%,3,7,暂无数据,1.56元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),无,居民自管委,
北大街1号院,怀柔-怀柔-北大街,116.650195,40.342411,37259,↓0.69%,4,0,暂无数据,0.56元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
青春苑(东区),怀柔-怀柔-西园小街,116.63579,40.325566,37066,↓0.18%,14,3,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京宏怀房地产开发有限公司,怀建物业管理有限公司,
富乐大街小区,怀柔-怀柔-富乐大街,116.638764,40.348213,37539,↑6.11%,12,3,暂无数据,0.67元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
于家园一区1号甲1号住宅,怀柔-怀柔-开放路,116.649797,40.341128,31305,↓12.12%,2,0,暂无数据,0.30元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京宏怀房地产开发有限公司,北京新正大物业管理有限公司,
府前东街13号院,怀柔-怀柔-府前东街13号,116.648265,40.323549,36608,↓0.30%,1,3,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
青春路66-68院,怀柔-怀柔-青春路,116.637369,40.334915,35083,↓1.09%,2,3,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
富乐大街9号院,怀柔-怀柔-富乐大街9号,116.641741,40.349391,38005,↓1.43%,7,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
杨家园,怀柔-怀柔-迎宾路,116.642281,40.339476,41095,——,5,3,普通住宅,2.58元/平米/月,暂无数据,暂无数据,1998年,300,1.6,40%(高),北京京都房地产开发有限公司,街道办事处,
新元居小区,怀柔-怀柔-开放路48号,116.652338,40.33079,39080,↑1.59%,1,8,暂无数据,0.88元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2,34%(一般),无,居民自管委,
湖光小区丙31号院(别墅),怀柔-怀柔-府前街,近湖光北街,116.6331306786,40.3381300269,32307,↓9.33%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
府前东街小区,怀柔-怀柔-府前东街,116.648328,40.322192,37712,↓1.82%,45,18,暂无数据,0.88元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,25%(一般),无,居民自管委,怀柔三小,
南华园三区,怀柔-怀柔-南大街,116.641797,40.312754,34507,↓0.32%,16,10,暂无数据,3.90元/平米/月,暂无数据,暂无数据,1983年,暂无数据,1.7,15%(低),北京安居住房股份有限公司,北京安居物业管理有限公司,怀柔一小,
鸿翔花园,怀柔-怀柔-京密高速,116.665529,40.370111,28669,↑4.23%,18,0,暂无数据,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
峪泉湖庄园,怀柔-怀柔-657乡道,116.538679,40.349854,25423,——,0,0,别墅,2.00元/平米/月,80000m²,暂无数据,2008年,充足,0.45,30%(一般),北京峪泉湖山庄有限公司,峪泉湖山庄物业,
草根香村,怀柔-怀柔-中富路,116.691006,40.256443,24267,——,0,0,暂无数据,2.60元/平米/月,暂无数据,暂无数据,2007年,私家车库,1.5,50%(高),暂无数据,北京杨宋镇梭草村,
雁栖林语,怀柔-怀柔-红螺路36号,116.632145,40.363833,17977,↓0.62%,0,0,暂无数据,3.00元/平米/月,80000m²,暂无数据,2004年,充足,0.35,30%(一般),暂无数据,暂无数据,
湖滨花园,怀柔-怀柔-马鞍山西路,116.63413,40.335661,55555,↑59.26%,0,0,暂无数据,0.90元/平米/月,490000m²,717户,2006年,充足,0.9,41%(高),昆山阳澄湖房产开发有限责任公司,暂无数据,光明小学怀柔分校,
凤翔四园,怀柔-怀柔-凤翔大街,116.687848,40.299139,30147,——,0,0,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,126,暂无数据,50%(高),无,居民自管委,
新乐园,怀柔-怀柔-富乐大街,116.642777,40.348556,32539,——,0,0,暂无数据,0.88元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),无,居民自管委,
北大街甲51号小区,怀柔-怀柔-北大街甲51号,116.6422294676,40.3427239688,28438,↓0.99%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
万通熙悦华府,怀柔-怀柔-杨各长街,116.644045,40.33939,37174,↓0.85%,0,0,暂无数据,0.57元/平米/月,暂无数据,暂无数据,2016年,暂无数据,2.5,30%(一般),北京万通正远置业有限公司,暂无数据,
博乐园小区,怀柔-怀柔-迎宾北路,116.643387,40.328346,22666,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,32%(一般),暂无数据,暂无数据,
雁栖半岛,怀柔-怀柔-雁青路29号,116.660766,40.389833,29045,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2016年,暂无数据,暂无数据,43%(高),北京卓正置业有限公司,新加坡城市展望物业管理公司,
凤和二园,怀柔-怀柔-和平路,116.686271,40.293366,20312,↓33.70%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,20%(一般),暂无数据,暂无数据,
凤山小区,怀柔-怀柔-京密高速,116.660423,40.364868,17000,——,0,0,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,50%(高),北京燕山石油化工有限公司,暂无数据,
青春路规划局宿舍楼,怀柔-怀柔-青春路,116.637785,40.331246,30447,↓2.38%,0,0,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
水岸江南绿色生态园,怀柔-怀柔-212县道,116.638036,40.276843,12500,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2001年,暂无数据,0.17,70%(高),暂无数据,北京56风情生态种植园有限公司,
圣泉公寓,怀柔-怀柔-台关路,116.570596,40.364585,20598,↓13.24%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
领秀雁栖翡翠花园,怀柔-怀柔-京加路,116.679739,40.382054,34404,↓1.14%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,1.78,35%(一般),北京京雁置业有限责任公司,待定,
青春路31号院,怀柔-怀柔-青春路31号,116.636601,40.328439,37903,↑0.55%,0,2,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
富乐小区北里40号院,怀柔-怀柔-北斜街,116.640704,40.339817,36404,↓1.07%,0,0,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
育龙馨居,怀柔-怀柔-乐园大街,116.667032,40.353509,29880,——,0,19,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
富乐社区29号院,怀柔-怀柔-北街,116.638957,40.340444,31404,↓1.24%,0,0,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,慧友鹏志物业管理有限公司,
湖光小区32号院,怀柔-怀柔-湖光北街,116.634079,40.338992,38461,↑0.08%,0,0,暂无数据,0.56元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京世纪今创房地产开发有限公司,北京华泰物业管理有限公司,
湖光小区乙30号院,怀柔-怀柔-湖光北街,116.633109,40.338902,37741,——,0,0,暂无数据,0.68元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京世纪金创房地产开发有限公司,北京华泰物业管理有限责任公司,
湖光小区丙31号院,怀柔-怀柔-府前街,116.633091,40.337838,31111,——,0,0,暂无数据,1.26元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京世纪今创房地产开发有限公司,北京华泰物业管理有限公司,
富乐社区1号院,怀柔-怀柔-北大街,116.639758,40.3419,32404,↓1.20%,0,0,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
裕华园一区,怀柔-怀柔-龙芸路,116.719714,40.330637,19062,——,0,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
雁栖一品园B区,怀柔-怀柔-雁来园北一街12号,116.661153,40.35129,32000,↓0.93%,0,7,暂无数据,1.56元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
梦想家园东区,怀柔-怀柔-祥瑞路,116.697553,40.289126,31000,↑15.67%,0,0,暂无数据,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金第房地产开发有限责任公司,北京市北宇物业管理公司,
后横街小区,怀柔-怀柔-迎宾路,116.639518,40.325594,40276,↓1.59%,10,11,暂无数据,1.30元/平米/月,暂无数据,暂无数据,2000年,充足,2,30%(一般),无,居民自管委,怀柔三小,
开放路甲117号小区,怀柔-怀柔-开放路甲117号,116.6495154676,40.3434299688,31744,↓1.11%,25,2,暂无数据,0.88元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
南大街29号院,怀柔-怀柔-南大街29号,116.636513,40.318131,35865,↓8.80%,5,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
东亚华欣湾(别墅),怀柔-怀柔-迎宾南路,近京密路,116.644904,40.30355,22013,↓8.43%,6,0,暂无数据,2.23元/平米/月,暂无数据,暂无数据,2014年,暂无数据,0.94,50%(高),暂无数据,北京东亚时代物业管理有限公司,
于家园一区教师公寓,怀柔-怀柔-北大街,116.64892,40.340772,38184,↑19.61%,7,0,暂无数据,1.12元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,
富乐公寓,怀柔-怀柔-北大街,116.640722,40.344041,28896,↓9.80%,1,0,暂无数据,0.56元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,居民自管委,
迎宾中路2号院,怀柔-怀柔-迎宾中路2号,116.646224,40.31737,37378,↓2.79%,39,14,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
北园一区,怀柔-怀柔-兴怀大街,116.639153,40.328128,34470,↑2.00%,3,7,公寓,暂无数据,暂无数据,暂无数据,2004年,暂无数据,暂无数据,31%(一般),北京奥林匹克置业投资有限公司,安厦物业服务有限公司,
梦想家园(西区),怀柔-怀柔-和平南路,116.698063,40.289032,36489,↓3.14%,12,5,公寓,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,60%(高),北京金第房地产开发有限公司,北京市北宇物业管理公司,
南华园一区,怀柔-怀柔-南大街,116.640908,40.317053,34081,↑0.11%,42,39,暂无数据,0.88元/平米/月,暂无数据,暂无数据,1983年,暂无数据,1.7,15%(低),北京安居住房股份有限公司,北京安居物业管理有限公司,怀柔一小,
北大街小区,怀柔-怀柔-北大街,116.649358,40.34249,29425,↑4.60%,25,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
