文津国际公寓,海淀-圆明园-中关村东路1号,116.333891,39.999036,65102,↓17.44%,79,33,暂无数据,4.00元/平米/月,12000m²,215户,2000年,602,4.07,30%(一般),北京硅谷兴业房地产开发有限公司,文清物业管理公司,
褐石,海淀-圆明园-荷清路,116.327886,40.02087,134478,↑12.46%,30,10,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2005年,暂无数据,暂无数据,38%(一般),北京泰跃房地产开发有限责任公司,北京太月物业管理有限责任公司,
北京大学蔚秀园,海淀-圆明园-颐和园路102号,116.308175,40.001957,68173,↓9.08%,16,50,暂无数据,暂无数据,15000m²,322户,1993年,200,1.2,45%(高),暂无数据,北京市畅春物业管理公司,
海淀路社区,海淀-圆明园-北四环西路,116.319327,39.991967,83992,↓2.99%,67,88,暂无数据,0.50元/平米/月,15200m²,1630户,1987年,256,3,20%(一般),三建集团有限公司,北京市第三建筑工程有限公司,
北京大学燕东园,海淀-圆明园-清华南路,116.324414,40.003877,76053,↑2.94%,15,45,暂无数据,暂无数据,15000m²,500户,2015年,300,1.2,30%(一般),暂无数据,北京大学宿舍楼,中关村二小华清校区,
畅春园,海淀-圆明园-北京市海淀区颐和园路5号,116.310352,40.000129,72411,↓2.09%,13,152,暂无数据,暂无数据,暂无数据,暂无数据,1995年,暂无数据,暂无数据,30%(一般),淮安乾元置业有限公司,业主自治,
体大颐清园,海淀-圆明园-北五环路,116.32834,40.023684,20244,——,0,51,暂无数据,2.00元/平米/月,170000m²,1024户,2008年,300,暂无数据,35%(一般),北京实创高科技发展有限责任公司,北京佳顺物业公司,
水磨社区,海淀-圆明园-中关村北大街,116.322744,40.00898,17454,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中关村二小华清校区,
一亩园社区,海淀-圆明园-一亩园东路,116.30137,40.006135,67428,↓1.28%,0,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2001年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
照澜院,海淀-圆明园-清华西路,116.33122,40.005754,78238,↓1.34%,0,2,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
成府路35号院,海淀-圆明园-成府路35号,116.343337,39.999849,85526,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1990年,暂无数据,暂无数据,30%(一般),北京城建集团,北京新兴兴业物业管理有限公司,
挂甲屯5号院,海淀-圆明园-北京市海淀区万泉河路挂甲屯5号,116.30519,40.002088,81330,↓4.72%,2,5,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,35%(一般),暂无数据,祥安居物业,
成府北河沿小区,海淀-圆明园-清华西路,116.31917,40.005007,107539,↑0.04%,22,10,暂无数据,0.80元/平米/月,15000m²,300户,2015年,100,1,20%(一般),暂无数据,北京祥安居物业管理有限公司,
芙蓉里南街6号院,海淀-圆明园-芙蓉里南街6号,116.308908,39.992636,88228,↑11.22%,14,3,暂无数据,0.68元/平米/月,30000m²,200户,1984年,120,2.3,35%(一般),北京百环房地产实业有限公司,北京百环花园物业管理有限公司,
挂甲屯教养局1号院,海淀-圆明园-颐和园路,116.303526,40.002314,83161,↑7.12%,1,3,暂无数据,暂无数据,暂无数据,暂无数据,1980年,暂无数据,暂无数据,暂无数据,北京市超市发大厦房地产开发有限公司,祥安居物业挂甲屯便民服务站,
清华园荷清苑,海淀-圆明园-中关村北大街,116.330033,40.017829,118398,↑2.82%,21,19,暂无数据,2.05元/平米/月,暂无数据,1053户,2002年,地下停车,2.2,30%(一般),北京宝晟住房股份有限公司,业主自管,中关村二小中关村校区,
清华大学西北小区,海淀-圆明园-圆明园东路,116.327355,40.018239,83647,↓1.22%,1,42,公寓,1.50元/平米/月,35000m²,6000户,2015年,暂无数据,2,30%(一般),北京市石景山区园林管理公司,北京育新物业管理共i是,
清华大学家属院,海淀-圆明园-荷清路,116.33127,40.004733,98898,↑5.16%,19,171,暂无数据,1.90元/平米/月,600000m²,2660户,2003年,6000,1,30%(一般),华润置地（北京）股份有限公司,华润物业,
