水清木华园,海淀-五道口-北京市海淀区中关村北二街4号,116.33531,39.996061,102253,↓0.05%,204,114,暂无数据,1.97元/平米/月,140000m²,900户,2000年,1200,2,30%(一般),北京汇泽房地产开发有限公司,北京市光坏物业管理中心,中关村二小中关村校区,
东王庄小区,海淀-五道口-学院路,116.347578,40.005326,85779,↑2.10%,439,148,暂无数据,1.70元/平米/月,208000m²,2548户,1998年,地上50个,0.9,15%(低),北京天鸿宝业房地产股份有限公司,东王庄小区居民委员会,
科汇社区,海淀-五道口-中关村三桥路,116.33476,39.993267,122907,↑2.19%,40,3,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2001年,暂无数据,2.2,20%(一般),中国科学院房产管理所,北京科住物业管理有限公司,中关村二小中关村校区,
科馨社区,海淀-五道口-成府路45-1号,116.33532,39.997822,119406,↓2.97%,21,0,公寓,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,20%(一般),中国科学院房产管理所,北京科住物业管理有限公司,
矿业大学家属院,海淀-五道口-学院路丁11号,116.35119,40.002639,86249,↓0.57%,12,22,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1,30%(一般),北京城建集团,中国矿业大学（北京）后勤物业管理处,
五道口嘉园,海淀-五道口-展春园西路3号,116.345972,39.995731,94676,↓2.99%,8,95,暂无数据,暂无数据,暂无数据,暂无数据,2005年,暂无数据,暂无数据,41%(高),暂无数据,暂无数据,
太极小区,海淀-五道口-志新东路,116.376969,39.994498,91463,——,0,5,公寓,0.70元/平米/月,1000m²,3000户,1987年,200,1.3,30%(一般),北京城建集团有限责任公司,暂无数据,
地质大学家属院,海淀-五道口-展春园西路,116.348243,39.996357,82804,——,0,2,暂无数据,2.00元/平米/月,暂无数据,暂无数据,1993年,暂无数据,1.9,33%(一般),暂无数据,地质大学物业管理中心,
语言大学家属院,海淀-五道口-成府路,116.349218,40.000067,77692,↑1.15%,0,44,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1999年,暂无数据,暂无数据,18%(低),暂无数据,暂无数据,
暂安处,海淀-五道口-展春园西路,116.345956,39.995076,86358,↑8.29%,27,9,暂无数据,0.80元/平米/月,16000m²,216户,1999年,地上车位150元/月,暂无数据,25%(一般),暂无数据,北京市海淀区志新物业管理公司,
学院路甲9号院,海淀-五道口-学院路甲9号,116.358534,40.005836,75898,↓10.95%,8,18,暂无数据,0.72元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,单位自管,
清华园铁路宿舍,海淀-五道口-成府路,116.338156,39.997741,111123,↑1.82%,25,6,暂无数据,0.40元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2.4,30%(一般),暂无数据,中铁六局集团北京铁路建设有限公司,中关村二小中关村校区,
大通成府公馆,海淀-五道口-成府路,116.337582,39.997012,132458,↑0.74%,7,5,暂无数据,2.12元/平米/月,12572m²,132户,2008年,80,1.98,30%(一般),北京汇泽房地产开发有限公司,北京万达物业管理中心,
北京城建第四社区,海淀-五道口-王庄路27号,116.345788,40.001823,87450,↓0.33%,97,87,普通住宅,暂无数据,暂无数据,暂无数据,1996年,暂无数据,1.32,30%(一般),北京城市建设开发集团有限公司,单位自管物业,
科源社区,海淀-五道口-中关村北一街,116.326435,39.992536,117890,↓0.81%,109,83,暂无数据,0.55元/平米/月,135000m²,1200户,1980年,充足,1.6,30%(一般),北京中科院,科住物业管理有限责任公司,
