观澳园小区,海淀-清河-南马坊东路,116.376894,40.038224,74375,↑1.15%,138,175,暂无数据,1.80元/平米/月,105000m²,982户,2005年,150/300,1.2,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京天鸿宝地物业管理经营有限公司,北京石油学院附属实验小学,
宝盛里,海淀-清河-龙岗路,116.374233,40.040116,67083,↓0.28%,230,195,暂无数据,0.78元/平米/月,387000m²,5500户,1996年,出租150元/月,0.8,35%(一般),天鸿集团，北京宝晟住房股份有限公司,兴华物业,北京石油学院附属实验小学,
橡树湾红橡庭院,海淀-清河-清河中街,近朱房北一街,116.339134,40.037264,99676,↑0.45%,136,308,暂无数据,2.76元/平米/月,710000m²,3470户,2008年,1：2,2.25,33%(一般),华润置地（北京）股份有限公司,华润置地（北京）物业管理有限公司,
水木天成,海淀-清河-龙岗路69号,116.357843,40.03402,69410,↓0.10%,433,167,暂无数据,2.00元/平米/月,143584m²,1057户,2005年,3：2,2.9,31%(一般),北京亚太友谊房地产开发有限责任公司,北京水木天成物业管理有限责任公司,
宝盛西里,海淀-清河-永泰庄东路,116.37312,40.039944,61508,↓7.47%,8,3,暂无数据,0.78元/平米/月,384000m²,5000户,2000年,300个,0.8,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京天鸿宝地物业管理有限公司,北京石油学院附属实验小学,
永泰园北区,海淀-清河-永泰庄路,116.354442,40.041735,68337,↓1.91%,132,82,普通住宅,1.20元/平米/月,暂无数据,暂无数据,1980年,48,0.8,41%(高),北京鼎嘉恒房地产开发有限公司,中邮物业管理有限公司,
清上园,海淀-清河-安宁庄前街,116.336694,40.044471,69267,↓0.46%,68,116,普通住宅,2.00元/平米/月,暂无数据,暂无数据,2002年,700,2.6,35%(一般),北京天恒房地产股份有限公司,北京天恒瑞海物业管理有限责任公司,海淀实验二小汇缘校区,
怡清园小区,海淀-清河-永泰庄北路,116.367221,40.04316,68335,↑3.81%,63,47,暂无数据,1.77元/平米/月,82000m²,2292户,2002年,1：0.8,2.9,30%(一般),北京建雄房地产开发有限责任公司,北京佳顺物业管理有限公司,
君安家园东区,海淀-清河-育新花园西路,116.351812,40.048146,61717,↓5.42%,39,26,暂无数据,1.26元/平米/月,270000m²,992户,2004年,地下
清河文苑,海淀-清河-清河中街,116.34954,40.03544,55850,↓12.72%,1,21,暂无数据,1.60元/平米/月,52500m²,450户,2001年,充足,2.5,30%(一般),北京紫都置业发展有限公司,北京国瑞家物业管理有限公司,
永泰西里(南区),海淀-清河-永泰庄路,116.361351,40.038864,69837,↑0.40%,220,129,暂无数据,0.50元/平米/月,38586m²,5862户,1992年,1000,2,10%(低),天鸿建设集团有限公司,业主自管,
水利一处宿舍,海淀-清河-安宁庄东路,116.333656,40.055059,63238,↑2.45%,6,13,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1.4,26%(一般),暂无数据,暂无数据,海淀实验二小汇缘校区,
橡树湾四期,海淀-清河-毛纺路,近朱房路,116.342017,40.034367,96278,↓2.64%,166,88,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京华润新镇置业有限责任公司,华润物业管理有限公司,
机械工业学院家属院,海淀-清河-前屯路,116.355596,40.0433,65948,↓1.32%,6,6,暂无数据,0.56元/平米/月,12412m²,270户,1992年,120,0.85,35%(一般),暂无数据,业主自管,
小营东路5号院,海淀-清河-小营东路5号,116.358848,40.046525,66689,↑1.76%,5,5,公寓,0.80元/平米/月,12100m²,680户,1989年,300,2,33%(一般),三建集团有限公司,社区自管,
小加气厂宿舍,海淀-清河-朱房路,116.332009,40.040017,69808,↓18.63%,3,1,暂无数据,0.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,业主自管,
燕语清园,海淀-清河-清河毛纺路26号,116.347905,40.040908,70045,↓2.59%,55,23,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2005年,暂无数据,4.5,35%(一般),北京天润置地房地产开发（集团）有限公司,北京长城物业管理有限公司,
永泰园南区,海淀-清河-永泰庄路,116.356032,40.039004,58085,——,13,3,公寓,1.20元/平米/月,暂无数据,暂无数据,1980年,暂无数据,暂无数据,41%(高),北京鼎嘉恒房地产开发有限公司,北京佳美物业管理有限责任公司,
宝盛北里,海淀-清河-黑泉路,近永泰庄北路,116.374849,40.044211,65287,↓0.53%,128,17,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2002年,暂无数据,0.8,30%(一般),北京宝晟住房股份有限公司,北京金泰物业管理有限公司,北京石油学院附属实验小学,
美欣家园,海淀-清河-小营东路16号,116.350869,40.044939,64856,↑0.58%,8,6,暂无数据,1.50元/平米/月,10000m²,400户,2003年,100,5,30%(一般),北京希科合力房地产开发有限公司,北京龙城物业管理有限公司,
小营前屯路57号小区,海淀-清河-小营前屯路57号,116.355704,40.044693,64392,↑0.78%,8,9,暂无数据,暂无数据,500m²,180户,1988年,地上20,1.28,50%(高),暂无数据,无,
永泰庄,海淀-清河-沙阳路,116.358001,40.039579,67969,↓6.09%,1,2,暂无数据,3.20元/平米/月,暂无数据,暂无数据,1980年,暂无数据,暂无数据,30%(一般),北京鼎嘉恒房地产开发有限公司,北京房修一物业管理有限公司,
小营东路7号院,海淀-清河-小营东路7号,116.356927,40.046044,68970,↑0.19%,10,4,公寓,0.70元/平米/月,5000m²,1200户,1990年,充足,1,30%(一般),暂无数据,单位自管,
北京城建世华龙樾二里,海淀-清河-后屯路,116.356918,40.052331,99770,↓3.91%,114,33,暂无数据,0.90元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
宝盛里观景园,海淀-清河-林翠路,116.380553,40.041526,79835,↑0.08%,68,142,暂无数据,2.28元/平米/月,215300m²,2158户,2008年,934,1.38,30%(一般),北京宝晟住房股份有限公司,北京金泰物业管理有限公司,北京石油学院附属实验小学,
专家国际花园,海淀-清河-后屯路,116.361898,40.049371,77260,↑11.08%,64,12,暂无数据,4.60元/平米/月,162190m²,328户,2008年,223,1.59,30%(一般),北京鼎嘉恒房地产开发有限公司,北京金罗马物业管理有限公司,
合景映月台,海淀-清河-安宁庄西路,116.328508,40.041707,75287,↓6.93%,4,26,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,2.1,30%(一般),北京富愉房地产开发有限公司,广州宁骏物业管理有限公司北京分公司,
华润橡树湾(一期),海淀-清河-学府树北街,116.341999,40.040699,99861,↓4.97%,120,230,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京华润新镇置业有限责任公司,华润置地物业管理有限责任公司,
橡树湾三期,海淀-清河-学府树中街,近朱房路,116.338684,40.03427,94165,↓1.13%,215,208,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京华润新镇置业有限责任公司,华润物业管理有限公司,
清河公安局宿舍,海淀-清河-永泰中路,116.363251,40.03735,62642,——,0,0,暂无数据,4.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.98,30%(一般),暂无数据,北京华润物业管理有限公司,
清河镇邮局宿舍,海淀-清河-清河中街,116.348139,40.036719,63642,↓1.79%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1.6,20%(一般),暂无数据,单位自主,中关村一小天秀校区,
世华龙樾二里,海淀-清河-后屯路,116.356462,40.051771,91447,↓12.99%,0,2,暂无数据,2.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
朱房路16号院,海淀-清河-朱房路16号,116.347123,40.03399,71500,↓3.12%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
朱房路29号院,海淀-清河-朱房路29号,116.330466,40.03695,50500,——,0,0,暂无数据,1.20元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.3,33%(一般),暂无数据,业主自管,海淀实验二小橡树校区,
装备部小区,海淀-清河-安宁庄前街,116.340569,40.046997,44047,↓2.76%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2001年,暂无数据,2,30%(一般),暂无数据,暂无数据,
海清园,海淀-清河-清河三街99号,116.348281,40.039034,65285,↑12.94%,5,18,暂无数据,1.60元/平米/月,13957m²,324户,1999年,停车位30个,2.4,30%(一般),北京中集协房地产开发有限公司,北京鸿鹄物业管理有限公司,
供电局家属楼,海淀-清河-清河三街70号,116.3379,40.039744,65666,↑4.73%,1,1,普通住宅,暂无数据,暂无数据,暂无数据,1998年,100,1.5,23%(一般),天鸿集团，北京宝晟住房股份有限公司,无,海淀实验二小汇缘校区,
北京城建世华龙樾一里,海淀-清河-后屯路,116.359754,40.053002,80000,↓5.49%,1,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
美和园,海淀-清河-小营西路,116.329543,40.039292,73206,↓2.88%,30,55,暂无数据,1.98元/平米/月,暂无数据,暂无数据,1997年,暂无数据,2.2,30%(一般),北京金隅嘉业房地产经纪有限公司,北京金隅嘉业物业管理有限公司,
社会福利院家属楼,海淀-清河-清河中街,116.35118,40.032755,63314,↓13.29%,4,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,业主自管,
强佑清河新城西区,海淀-清河-朱房路,116.350183,40.034049,71602,↑4.01%,4,32,暂无数据,2.30元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),北京强佑房地产开发公司,北京强佑物业管理有限公司,
安宁庄后街15号院,海淀-清河-安宁庄后街15号,116.333011,40.055417,58957,↓6.54%,1,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
毛纺北小区,海淀-清河-安宁庄东路30号,116.341989,40.044927,71628,↓1.93%,37,46,暂无数据,0.80元/平米/月,110592m²,480户,1991年,450,2,30%(一般),誉龙房地产开发有限公司,北京市燕海物业管理有限公司,海淀实验二小汇缘校区,
毛纺西小区,海淀-清河-朱房北一街,116.335803,40.037418,67209,↓4.97%,10,18,暂无数据,暂无数据,13000m²,1450户,1983年,100,2,25%(一般),暂无数据,无,
北沙小区,海淀-清河-毛纺路19号,116.349112,40.039275,57777,↓15.03%,1,4,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2,31%(一般),北京奥竺房地产开发有限公司,北京德宏物业管理有限公司,
燕清源,海淀-清河-毛纺路,116.348433,40.041158,60000,↓12.41%,0,0,暂无数据,1.90元/平米/月,193000m²,1088户,2005年,1：1,4.5,45%(高),北京天润置地房地产开发有限公司,北京长城物业管理有限公司,
朱房小区,海淀-清河-朱房路,116.334846,40.034393,71047,↓1.73%,0,1,暂无数据,0.40元/平米/月,10000m²,2000户,1991年,充足,1.3,20%(一般),暂无数据,北京长城物业管理有限公司,
丝绸厂宿舍,海淀-清河-安宁庄东路,116.333815,40.054435,67592,——,0,0,公寓,0.60元/平米/月,50000m²,1236户,1984年,300,暂无数据,20%(一般),安宁里丝绸厂,单位自管,海淀实验二小汇缘校区,
泰欣苑,海淀-清河-龙岗路,116.374478,40.037403,67023,↓1.14%,0,0,暂无数据,暂无数据,暂无数据,800户,2000年,充足,2.7,30%(一般),暂无数据,暂无数据,北京石油学院附属实验小学,
小营东路12号院,海淀-清河-小营东路12号,116.355888,40.042147,74955,↑15.12%,0,1,暂无数据,1.20元/平米/月,10000m²,暂无数据,1998年,充足,1,30%(一般),北京机械工程学院开发有限公司,单位自管,
宝盛北里,海淀-清河-永泰庄北路,116.374876,40.044265,64285,——,0,2,公寓,0.88元/平米/月,400000m²,1850户,1996年,230,0.8,30%(一般),天鸿集团，北京宝晟住房股份有限公司,万佳物业公司,北京石油学院附属实验小学,
毛纺南小区,海淀-清河-毛纺路,116.344478,40.035207,73875,——,0,0,暂无数据,1.05元/平米/月,100000m²,1005户,1975年,充足,2,30%(一般),清河毛纺厂,单位自管,
昆鹏小区,海淀-清河-京藏高速,116.347718,40.047067,31168,——,0,2,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.75,36%(一般),暂无数据,暂无数据,
小营东路6号院,海淀-清河-小营东路6号,116.357159,40.045199,61884,↓4.20%,0,0,暂无数据,0.50元/平米/月,14000m²,600户,1989年,140,1,35%(一般),三建集团有限公司,电力科学研究院,
小营西路30号院,海淀-清河-小营西路30号,116.338841,40.040425,64059,——,0,1,暂无数据,0.89元/平米/月,暂无数据,暂无数据,2008年,200,2.2,45%(高),华润置地（北京）股份有限公司,华润置地物业管理有限公司,海淀实验二小汇缘校区,
药材公司宿舍,海淀-清河-龙岗路,116.243257,40.234932,66666,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
橡林郡,海淀-清河-毛纺路,116.344974,40.041444,44213,——,0,0,暂无数据,4.98元/平米/月,52735m²,460户,2018年,532,3.56,30%(一般),北京鑫一德房地产开发有限公司,北京七一嘉和物业管理有限公司,
华润橡树湾二期,海淀-清河-清河中街,116.338594,40.037999,86929,——,0,0,公寓,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,55%(高),北京华润新镇置业有限责任公司,华润物业管理有限公司,
北京清河毛纺织厂花园,海淀-清河-朱房路,116.344945,40.033203,26460,——,0,1,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
橡树湾一期,海淀-清河-清河中街,116.342241,40.040413,100995,——,0,1,公寓,0.59元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京华润新镇置业有限责任公司,华润物业管理有限公司,
小营西路23号院,海淀-清河-小营西路23号,116.340263,40.042312,64404,↓0.61%,0,3,暂无数据,1.10元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,35%(一般),暂无数据,暂无数据,海淀实验二小汇缘校区,
小营西路29号院,海淀-清河-小营西路29号,116.338384,40.04325,62023,↓1.24%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1997年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,海淀实验二小汇缘校区,
小营西路31号院,海淀-清河-小营西路31号,116.334778,40.04689,66452,↓1.99%,0,1,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,海淀实验二小汇缘校区,
小营西路32号院,海淀-清河-小营西路32号,116.336094,40.040548,62023,↓1.24%,0,7,暂无数据,暂无数据,暂无数据,暂无数据,1998年,暂无数据,暂无数据,36%(一般),暂无数据,暂无数据,海淀实验二小汇缘校区,
龙岗安居里,海淀-清河-清河龙岗路,116.369163,40.038816,5625,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
信息科技大学家属楼,海淀-清河-育新花园西路,116.355615,40.043336,94884,↑6.95%,0,0,暂无数据,0.70元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
毛纺路19号院,海淀-清河-清河毛纺路19号,116.344329,40.033373,65833,↓1.45%,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,裕泰物业管理有限公司,
福美苑小区,海淀-清河-营福路10号,116.347789,40.048516,46666,——,0,17,暂无数据,2.20元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,暂无数据,北京建工四建房地产开发有限公司,北京建工物业服务有限公司,
财大家属院,海淀-清河-朱房路29号,116.330423,40.037725,73317,↓3.85%,25,13,暂无数据,1.60元/平米/月,暂无数据,暂无数据,1981年,暂无数据,2.1,33%(一般),暂无数据,北京艾维物业管理有限公司,海淀实验二小汇缘校区,
永泰园西区,海淀-清河-永泰庄北路,116.354137,40.039995,69312,↓7.28%,56,21,暂无数据,1.55元/平米/月,暂无数据,暂无数据,1980年,暂无数据,0.8,33%(一般),北京鼎嘉恒房地产开发有限公司,中邮物业,
清河毛纺路16号院,海淀-清河-毛纺路16号,116.347123,40.035206,53656,↓24.61%,5,1,暂无数据,0.90元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.6,30%(一般),北京方恒置业股份有限公司,北京燕海物业管理有限公司,
清秀阁,海淀-清河-毛纺路,116.344174,40.034989,75645,↑11.51%,1,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
永泰园中区,海淀-清河-永泰庄路,116.355089,40.040206,67227,——,10,7,公寓,1.20元/平米/月,暂无数据,暂无数据,1980年,暂无数据,暂无数据,41%(高),北京鼎嘉恒房地产开发有限公司,北京佳美物业管理有限责任公司,
花园楼小区,海淀-清河-毛纺路,116.346137,40.033339,63568,↓2.27%,51,3,暂无数据,0.60元/平米/月,80000m²,1502户,1998年,充足,2.2,20%(一般),北京大兴华房地产集团,暂无数据,
北京市加气混凝土厂宿舍,海淀-清河-朱房路,116.335127,40.037444,74680,↑4.04%,13,6,暂无数据,0.60元/平米/月,5000m²,暂无数据,1996年,充足,2.2,10%(低),北京市金隅加气混凝土厂,暂无数据,
美和园(金隅美和园东区),海淀-清河-小营西路48号,116.331417,40.039526,72858,↑0.73%,9,50,暂无数据,1.98元/平米/月,170759m²,1710户,1997年,暂无
安宁庄东路6号院,海淀-清河-安宁庄东路6号,116.333607,40.054722,64661,↓2.10%,4,2,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,2.2,30%(一般),安宁里丝绸厂,暂无数据,
君安家园西区,海淀-清河-育新花园西路,116.350005,40.0479,58352,↓2.86%,3,4,暂无数据,1.26元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.1,30%(一般),北京海欣方舟房地产开发有限公司,北京市龙城物业管理有限公司,
永泰庄路6号院,海淀-清河-永泰庄路6号,116.359002,40.037572,68421,↓1.07%,21,4,暂无数据,0.65元/平米/月,暂无数据,暂无数据,1991年,暂无数据,1.7,20%(一般),暂无数据,社区自管物业,
安宁庄东路2号院,海淀-清河-安宁庄东路2号,116.332641,40.055711,63271,↓1.67%,9,2,暂无数据,1.99元/平米/月,200000m²,900户,2003年,500,2,35%(一般),北京天恒房地产股份有限公司,北京天恒瑞海物业管理有限责任公司,
后屯路32号院,海淀-清河-后屯路32号,116.361536,40.044903,67598,↓4.14%,99,8,暂无数据,0.65元/平米/月,7530m²,792户,1996年,充足，免费,暂无数据,30%(一般),北京冶金集团,单位自管物业,
小营东路17号院,海淀-清河-小营东路17号,116.35056,40.04631,68530,↓1.00%,3,33,暂无数据,0.80元/平米/月,1500m²,1200户,2000年,150,2.4,23%(一般),北京三建公司,社区自管,
橡树湾五期,海淀-清河-清河中街,近毛纺路,116.341884,40.037192,100343,↑4.06%,21,17,暂无数据,0.59元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,20%(一般),北京华润新镇置业有限责任公司,华润物业管理有限公司,
小营东路6号院,海淀-清河-小营东路6号,116.357272,40.044885,71320,↑1.26%,45,12,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,社区自管,
安宁佳园,海淀-清河-安宁佳园东路,116.334304,40.057014,74378,↓3.86%,113,50,暂无数据,1.90元/平米/月,77000m²,904户,2007年,450,2.5,31%(一般),上地房地产开发有限责任公司,北京实创科技园经营服务公司,
上第MOMA,海淀-清河-安宁庄路1号,116.324077,40.051072,74338,↑4.11%,20,49,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2011年,暂无数据,2.2,42%(高),北京当代房地产开发有限责任公司,当代物业管理有限责任公司,
清河毛纺南小区,海淀-清河-毛纺路36号,116.344404,40.035465,66447,↑0.48%,175,19,暂无数据,1.49元/平米/月,13000m²,148户,2005年,165,1.5,30%(一般),北京方宏置业有限责任公司,北京华泰龙安物业管理有限责任公司,
上林溪,海淀-清河-安宁庄东路,116.333423,40.05253,80168,↑0.32%,169,273,暂无数据,2.00元/平米/月,300000m²,312户,2010年,6个地下车库,停车位约1000个,地上停,1.94,30%(一般),北京上地房地产开发有限责任公司,北京鼎春德物业管理有限公司,海淀实验二小当代校区,
强佑清河新城,海淀-清河-京藏高速辅路,近清河中街,116.353812,40.035088,72610,↓0.75%,689,402,暂无数据,4.30元/平米/月,800000m²,870户,2008年,地上车位地下车位
清润家园,海淀-清河-龙岗路51号,116.361246,40.036527,78184,↑0.19%,13,54,暂无数据,1.18元/平米/月,50180m²,520户,1989年,地上车位,2.5,30%(一般),暂无数据,北京营盈物业管理中心,
清河花园楼小区,海淀-清河-毛纺路,116.346277,40.033354,64399,↑19.40%,14,7,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
安宁庄后街13号院,海淀-清河-安宁庄后街13号,116.333852,40.056061,63157,↓2.83%,5,1,暂无数据,1.90元/平米/月,1000m²,200户,1996年,120,1.1,31%(一般),陶瓷厂,社区自管,海淀实验二小汇缘校区,
永泰庄路甲6号院,海淀-清河-永泰庄路6号,116.35849,40.039008,67480,↓2.23%,8,23,暂无数据,0.65元/平米/月,20000m²,800户,1986年,100,1.7,15%(低),暂无数据,单位自管物业,
小营西路25号院,海淀-清河-小营西路25号,116.339785,40.042786,68593,↑0.64%,10,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2000年,128个,暂无数据,35%(一般),暂无数据,业主自管,海淀实验二小汇缘校区,
