主语家园,海淀-紫竹桥-首体南路,116.329751,39.939612,123601,↑0.26%,76,243,暂无数据,3.95元/平米/月,420000m²,620户,2007年,610,4.5,46%(高),北京瑞景清源房地产开发有限公司,主语世邦物业管理有限公司,
紫竹院南路4号院,海淀-紫竹桥-紫竹院南路4号,116.326938,39.943258,95762,↓5.11%,7,8,暂无数据,1.20元/平米/月,暂无数据,5000户,暂无数据,8000,2,20%(一般),永泰房地产集团有限公司,业主自管,
新苑街1号院,海淀-紫竹桥-新苑街1号,116.339341,39.942311,98070,↑1.04%,10,48,公寓,0.50元/平米/月,120000m²,200户,1987年,50,0.8,30%(一般),中直机关住房服务中心,单位自管物业,首师大实验小学,
紫竹院南路2号院,海淀-紫竹桥-紫竹院南路2号,116.32656,39.944289,94871,↓4.43%,1,0,暂无数据,1.00元/平米/月,8600m²,670户,2000年,260,2.3,30%(一般),暂无数据,业主自管,
紫南社区,海淀-紫竹桥-潘庄南路,116.322569,39.939579,95067,↑5.51%,3,1,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2002年,暂无数据,2.3,40%(高),北京房地产有限开发公司,单位自管物业,
紫竹院公园宿舍,海淀-紫竹桥-紫竹院路,116.318966,39.949334,64253,↓30.54%,2,2,暂无数据,1.30元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京房地产有限开发公司,单位自管物业,
紫竹院南路13号院,海淀-紫竹桥-紫竹院南路13号,116.3259456419,39.9420978739,59094,↓28.20%,1,0,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京房地产开发有限公司,单位自管物业,
中国科学院植物研究所宿舍,海淀-紫竹桥-新苑街15号,116.338056,39.942284,96945,↑1.84%,1,1,公寓,0.50元/平米/月,150000m²,300户,1987年,暂无数据,暂无数据,暂无数据,北京房地产有限开发公司,单位自管物业,
三虎桥南路25号院,海淀-紫竹桥-三虎桥南路25号,116.319627,39.939072,91983,↑0.97%,3,22,普通住宅,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1,30%(一般),暂无数据,无无,
二里沟市政宿舍,海淀-紫竹桥-车公庄西路甲7号,116.336969,39.939432,98707,↑0.97%,0,0,公寓,0.55元/平米/月,暂无数据,暂无数据,1988年,暂无数据,2,30%(一般),北京房地产有限开发公司,单位自管物业,
三里河路5号院,海淀-紫竹桥-新苑街,116.33694,39.940118,100666,↑0.25%,28,21,公寓,0.50元/平米/月,暂无数据,暂无数据,1994年,暂无数据,2.5,30%(一般),五矿房地产公司,单位自管物业,首师大实验小学,
新苑街10号院,海淀-紫竹桥-新苑街10号,116.334292,39.940592,100000,↓0.62%,5,2,公寓,0.70元/平米/月,6000m²,150户,2000年,134,0.8,30%(一般),北京房地产开发公司,社区街道物业,首师大实验小学,
机械科学研究总院东家属区,海淀-紫竹桥-首体南路9号,116.327584,39.94182,100000,↑0.36%,4,41,公寓,0.70元/平米/月,350000m²,860户,1989年,较少,暂无数据,30%(一般),北京房地产开发公司,社区街道物业,
车公庄西路35号院,海淀-紫竹桥-车公庄西路35号,116.317642,39.940639,89895,↑3.33%,17,65,暂无数据,0.55元/平米/月,150000m²,暂无数据,2000年,车位充足,2.5,30%(一般),暂无数据,北京市腾达物业管理中心,
外文印刷厂住宅小区,海淀-紫竹桥-紫竹院南路,116.327257,39.941147,89967,↓0.59%,8,2,暂无数据,3.50元/平米/月,200m²,200户,1987年,20,暂无数据,10%(低),北京房地产开发有限公司,单位自管物业,
豪柏大厦,海淀-紫竹桥-西三环北路50号院6-8号,116.320062,39.945318,85248,↓4.38%,0,1,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2004年,暂无数据,2.2,30%(一般),北京新松房地产开发有限公司,西宁嘉业有限公司,
嘉慧苑,海淀-紫竹桥-紫竹院路31号,116.312901,39.950388,44866,——,0,5,公寓,2.75元/平米/月,99285m²,暂无数据,2002年,150,暂无数据,32%(一般),北京京奥港房地产开发有限责任公司,北京中原华夏物业管理有限公司,
厂洼第一社区,海淀-紫竹桥-西三环北路,116.314491,39.963335,--,--,0,0,公寓,2.80元/平米/月,1177m²,3000户,1992年,300,1.3,40%(高),暂无数据,青东物业管理有限公司,
七贤村,海淀-紫竹桥-西三环北路,116.312009,39.938848,98693,——,0,0,公寓,0.50元/平米/月,200m²,300户,1990年,150元/月,2,20%(一般),暂无数据,新中物业管理有限公司,
五矿宿舍,海淀-紫竹桥-三里河路,116.336153,39.940491,104205,↑0.36%,0,28,暂无数据,0.50元/平米/月,500m²,500户,1994年,500,4.5,12%(低),暂无数据,五矿物业管理有限公司,
紫竹院南路23号院,海淀-紫竹桥-紫竹院南路23号,116.3240042829,39.939662881,72852,——,0,0,公寓,1.50元/平米/月,12500m²,760户,2000年,560,2,30%(一般),北京房地产开发有限公司,单位自管物业,
百胜村1号院,海淀-紫竹桥-三虎桥北路,116.320879,39.944168,86404,↑2.43%,0,0,暂无数据,1.20元/平米/月,120000m²,500户,1999年,充足,1.2,30%(一般),北京房地产开发有限公司,单位自管物业,
紫竹院路甲3号院,海淀-紫竹桥-紫竹院路甲3号,116.319734,39.949105,93322,↓4.55%,0,0,暂无数据,1.80元/平米/月,50m²,200户,2015年,暂无数据,2,39%(一般),北京房地产有限开发公司,北京普瑞物业管理有限公司,
国家图书馆社区,海淀-紫竹桥-中关村南大街33号,116.328759,39.950768,78938,——,0,3,暂无数据,暂无数据,暂无数据,暂无数据,2001年,充足,1.6,30%(一般),北京博雅苑置业有限公司,业主自管,
赏竹阁,海淀-紫竹桥-三里河路,116.338063,39.940426,98555,↓0.23%,0,10,公寓,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.3,35%(一般),五矿房地产公司,单位自管物业,
三虎桥南路9号院,海淀-紫竹桥-三虎桥南路9号,116.320774,39.943281,108620,↓0.23%,0,2,暂无数据,1.00元/平米/月,1600000m²,350户,2000年,150元/车位/月,1,30%(一般),北京房地产开发有限公司,单位自管物业,
半截塔2号院,海淀-紫竹桥-潘庄东路,116.324764,39.94186,89452,↓1.48%,0,8,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),北京房地产开发有限公司,单位自管物业,
北京市人民检察院宿舍,海淀-紫竹桥-半壁街,116.322435,39.944701,88500,↓2.53%,0,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,1985年,暂无数据,暂无数据,暂无数据,北京房地产开发有限公司,单位自管物业,
西三环北路56号小区,海淀-紫竹桥-百胜村路,116.319179,39.942174,80000,↓6.20%,0,0,暂无数据,1.30元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),北京房地产开发有限公司,单位自管物业,
车公庄西路23号院,海淀-紫竹桥-车公庄西路23号,116.323861,39.938662,85000,——,0,8,暂无数据,暂无数据,暂无数据,暂无数据,1990年,暂无数据,2.2,30%(一般),暂无数据,无,
车公庄西路27号院,海淀-紫竹桥-车公庄西路27号,116.322998,39.938967,96551,↑7.52%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1987年,暂无数据,1.2,30%(一般),暂无数据,无,
三虎桥检察院宿舍,海淀-紫竹桥-三虎桥路,116.322641,39.945094,87314,↓7.67%,0,1,暂无数据,2.48元/平米/月,暂无数据,暂无数据,1985年,暂无数据,2,39%(一般),暂无数据,暂无数据,
三虎桥南路6号院,海淀-紫竹桥-三虎桥南路6号,116.321304,39.943335,87635,——,0,0,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2,25%(一般),北京房地产开发有限公司,单位自管物业,
三虎桥首体宿舍,海淀-紫竹桥-三虎桥南路,116.320909,39.945157,79761,↓0.28%,0,1,公寓,0.50元/平米/月,暂无数据,暂无数据,1985年,暂无数据,暂无数据,暂无数据,北京房地产有限开发公司,单位自管物业,
三里河路1号院,海淀-紫竹桥-三里河路,116.337721,39.943073,105523,↓2.56%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,1980年,暂无数据,2.6,30%(一般),北京市第三建筑工程有限公司,业主自管,
主语城,海淀-紫竹桥-首体南路,116.330082,39.939928,92660,——,0,0,暂无数据,3.95元/平米/月,暂无数据,暂无数据,2005年,暂无数据,3.7,30%(一般),北京瑞景清源房地产开发有限公司,主语世邦物业管理有限公司,
紫竹院路1号院,海淀-紫竹桥-紫竹院路1号,116.320832,39.947472,101000,——,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1980年,暂无数据,2,30%(一般),北方房地产开发有限责任公司,北京北方家园物业管理有限责任公司,
紫竹院路4号院,海淀-紫竹桥-紫竹院路4号,116.326896,39.943331,100000,——,0,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1980年,暂无数据,1,29%(一般),五矿房地产开发公司,业主自管,
紫竹院路5号院,海淀-紫竹桥-紫竹院路5号,116.318652,39.949158,99714,↓2.53%,0,0,暂无数据,1.30元/平米/月,暂无数据,暂无数据,1980年,暂无数据,3.5,30%(一般),北京城市开发股份有限公司,业主自管,
紫竹院路9号院,海淀-紫竹桥-紫竹院路9号,116.31798,39.949247,89090,——,0,1,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1998年,暂无数据,1.6,20%(一般),暂无数据,业主自管,
紫竹院南路21号院,海淀-紫竹桥-紫竹院南路21号,116.3225703,39.93930788,79404,↓0.50%,0,0,暂无数据,0.55元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
紫竹院南路15号院,海淀-紫竹桥-紫竹院南路15号,116.325706,39.941549,77976,↑0.23%,0,0,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京房地产开发有限公司,单位自管物业,
紫竹院南路甲1号院,海淀-紫竹桥-紫竹院南路甲1号,116.326035,39.944516,93322,——,0,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
