紫金庄园,海淀-苏州桥-万泉河路68号,116.315285,39.972154,80677,↓0.93%,146,190,暂无数据,2.80元/平米/月,34580m²,996户,1998年,920,3,26%(一般),北京原创房地产开发有限责任公司,北京筑邦百扬物业管理有限公司,中关村三小万柳校区,
航空港社区,海淀-苏州桥-苏州街52号,116.315757,39.974059,115220,↑7.98%,2,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京中航恒远物业管理有限公司,中关村三小万柳校区,
倒座庙8号院,海淀-苏州桥-倒座庙8号,116.313707,39.980835,88520,↑9.19%,5,9,暂无数据,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城建三建设集团有限公司,北京北电华明物业管理有限公司,
碧水云天颐园(东区),海淀-苏州桥-万泉庄路,116.302203,39.973032,148104,↑0.24%,245,99,公寓,2.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京亿城房地产开发有限公司,北京亿城物业管理有限公司,中关村三小万柳校区,
榆树林小区,海淀-苏州桥-海淀南路,116.319783,39.983317,80350,↓6.77%,20,0,暂无数据,0.60元/平米/月,4500m²,144户,2000年,40,1,20%(一般),无,自管物业,中关村三小万柳校区,
三义庙2号院,海淀-苏州桥-万泉河路,116.315683,39.971111,75700,↓0.26%,10,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中关村三小万柳校区,
银丰大厦,海淀-苏州桥-苏州街20号,116.313167,39.982758,69529,↓0.83%,46,16,暂无数据,1.58元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3,30%(一般),北京银丰房地产开发有限公司,北京亿方物业管理有限责任公司,
立方庭,海淀-苏州桥-善缘街1号,116.315501,39.986694,97530,↑4.97%,1,108,暂无数据,14.00元/平米/月,暂无数据,暂无数据,2006年,暂无数据,暂无数据,20%(一般),北京建国房地产开发有限公司,建国物业管理公司,
苏州街20号院,海淀-苏州桥-苏州街20号,116.313822,39.982728,94098,↑34.49%,10,14,公寓,1.80元/平米/月,暂无数据,暂无数据,1997年,80,2.3,20%(一般),北京银丰房地产开发限公司,自管物业,中关村三小万柳校区,
人民大学林园,海淀-苏州桥-林园路,116.324136,39.977904,67460,↓10.17%,4,11,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,自管物业,中关村三小万柳校区,
海淀南路10号小区,海淀-苏州桥-海淀南路,116.320965,39.981594,96688,↑3.05%,10,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1997年,暂无数据,1.2,30%(一般),北京城建房地产开发有限公司,北京亿方物业管理有限责任公司,
长远天地,海淀-苏州桥-苏州街18号,116.313252,39.983631,56490,↓2.07%,99,33,暂无数据,4.38元/平米/月,暂无数据,暂无数据,2002年,暂无数据,3.2,35%(一般),北京中房长远房地产开发有限责任公司,北京金网络物业管理公司,
海淀南路5号院,海淀-苏州桥-海淀南路,116.314491,39.981486,31841,——,0,1,公寓,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,中关村三小万柳校区,
海淀南路9号小区,海淀-苏州桥-海淀南路9号,116.315128,39.982331,95867,↑14.17%,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1990年,暂无数据,1.2,30%(一般),暂无数据,暂无数据,中关村三小万柳校区,
世恒花园,海淀-苏州桥-苏州街,116.314043,39.982792,34961,↓5.08%,0,1,暂无数据,1.58元/平米/月,24000m²,暂无数据,1994年,150元/车位/月,4,28%(一般),北京银丰广厦房地产开发有限公司,世恒物业管理有限公司,中关村三小万柳校区,
海淀南路6号小区,海淀-苏州桥-海淀南路,116.317731,39.981493,92708,↑10.70%,0,1,暂无数据,0.60元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,中关村三小万柳校区,
北三环西路45号院,海淀-苏州桥-北三环西路45号,116.324823,39.972292,95060,↑7.26%,0,1,暂无数据,0.01元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.3,30%(一般),北京市通达房地产开发建设总公司,北京燕侨物业管理有限责任公司,
交大宜园,海淀-苏州桥-交通大学路,116.316346,39.97722,78404,↓0.50%,0,2,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,25%(一般),无,自管物业,中关村三小万柳校区,
西北三环47号院,海淀-苏州桥-定安门外大街,116.321271,39.972818,86931,↑1.20%,0,1,暂无数据,2.50元/平米/月,暂无数据,暂无数据,1990年,暂无数据,暂无数据,30%(一般),北京亚太友谊房地产开发有限责任公司,业主自管,中关村三小万柳校区,
新起点嘉园(商住楼),海淀-苏州桥-长春桥路,116.311037,39.967149,70350,↓1.55%,0,0,暂无数据,2.02元/平米/月,暂无数据,暂无数据,2003年,暂无数据,3.1,38%(一般),北京三义房地产开发有限公司,北京龙城兴业物业管理有限公司,
