远洋LAVIE,朝阳-来广营-康营东路,近机场高速,116.548677,40.035114,104951,↓2.36%,977,63,暂无数据,18.00元/平米/月,320000m²,190户,2008年,每个车位50万，每户私家车位4-14个,0.6,31%(一般),远洋地产有限公司,中远酒店物业管理有限公司,
太利花园,朝阳-来广营-和平路一号,116.529161,40.026179,48576,↓0.29%,108,65,暂无数据,4.00元/平米/月,54600m²,182户,1999年,停车位38个，150元/车位/月,0.4,70%(高),北京太利花园房地产开发有限公司,北京鼎泰物业管理有限公司,
泉发花园,朝阳-来广营-香江北路2号,116.522726,40.044453,36904,↓2.88%,9,634,暂无数据,2.20元/平米/月,2m²,606户,2002年,免费,0.4,40%(高),暂无数据,北京泉发物业管理有限公司,
大湖山庄,朝阳-来广营-和平路8号,116.539004,40.039391,80318,——,1172,162,暂无数据,12.50元/平米/月,60000m²,153户,2003年,153,0.45,50%(高),北京金来欣房地产开发公司,德国GSN物业公司,
丽苑小区,朝阳-来广营-香江北路,116.516893,40.041442,38084,↓2.54%,1,106,暂无数据,1.00元/平米/月,暂无数据,386户,2004年,充足,暂无数据,30%(一般),北京市东兴联房地产开发有限责任公司,北京玉泉物业服务有限公司,
马南里小区,朝阳-来广营-来广营东路,116.51724,40.028658,58674,↑16.81%,27,1,暂无数据,2.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2.4,30%(一般),北京世纪润通房地产开发有限公司,北京世纪博雅物业管理有限公司,
康营家园6期,朝阳-来广营-兰花苑南路,116.549664,40.044447,54513,↓13.88%,1,56,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
马南里小区,朝阳-来广营-东辛店中街,116.513153,40.028271,62645,↑5.81%,93,68,公寓,2.00元/平米/月,暂无数据,2689户,2015年,地上车位,2.4,30%(一般),北京世纪润通房地产开发有限公司,北京世纪博雅物业管理有限公司,
马泉营二区,朝阳-来广营-香江北路,116.515101,40.043437,19093,↓36.36%,5,1,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,33%(一般),北京城建房地产开发有限公司,北京亿宏达盛物业管理有限公司,
上东别墅玉林山水花园,朝阳-来广营-东苇路,116.543756,40.044735,59609,↑3.49%,75,33,公寓,0.50元/平米/月,暂无数据,暂无数据,2008年,暂无数据,0.46,40%(高),北京大正梅花工贸有限公司,北京燕京都物业管理有限公司,
康营家园11期,朝阳-来广营-康营东路,116.550633,40.043929,44453,↓0.20%,4,15,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.8,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理公司,
胡姬花园,朝阳-来广营-京顺路,116.528916,40.031625,36538,——,5,0,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,0.3,40%(高),凯得置地(中国)投资有限公司,业主自管,
北纬40度(西区),朝阳-来广营-来广营西路7号,116.469849,40.027827,88385,↑0.30%,105,34,暂无数据,2.36元/平米/月,暂无数据,暂无数据,2008年,暂无数据,0.65,30%(一般),北京新天朝来房地产开发有限公司,达文(中澳)物业管理有限公司,
龙湖双珑原著(别墅),朝阳-来广营-景达路1号,116.530928,40.062738,75939,↓3.30%,129,12,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,0.8,30%(一般),北京通瑞万华置业有限公司,7.9,
卓锦万代,朝阳-来广营-新锦路18号,116.53879,40.031135,71780,↓1.74%,556,150,暂无数据,暂无数据,84500m²,247户,2006年,免费,0.5,50%(高),凯得置地（中国）投资有限公司,北京均豪物业管理股份有限公司,
首开琅樾(别墅),朝阳-来广营-京平高速,116.524691,40.051184,63454,↑2.54%,26,2,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,0.8,31%(一般),首钢房产开发总公司,暂无数据,
润泽庄园墅郡,朝阳-来广营-水岸南街,近北苑东路,116.441315,40.058885,92025,↓2.67%,291,8,暂无数据,5.70元/平米/月,暂无数据,暂无数据,2013年,暂无数据,0.7,33%(一般),北京润泽庄苑房地产开发有限公司,国贸物业酒店管理有限公司,
马泉营一区,朝阳-来广营-香江北路,116.518413,40.044164,31973,↑1.18%,2,22,暂无数据,0.80元/平米/月,1125m²,562户,2007年,充足,2,33%(一般),北京城建房地产开发有限公司,北京亿宏达盛物业管理有限公司,
首开琅樾,朝阳-来广营-京平高速,116.522765,40.055923,66177,↓4.38%,205,9,暂无数据,0.40元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.4,31%(一般),首钢房产开发总公司,北京高力国际物业服务有限公司,
财富公馆,朝阳-来广营-康营中街9号,116.55965,40.041455,59655,↓5.27%,1155,160,暂无数据,10.00元/平米/月,暂无数据,暂无数据,2012年,暂无数据,0.55,40%(高),北京财富花园房地产开发有限公司,国贸酒店物业管理公司,
东洲家园,朝阳-来广营-来广营北路,116.468148,40.051681,80000,——,0,17,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
康营家园25期,朝阳-来广营-香江北路,116.549947,40.040404,60274,↓4.78%,1,29,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
北苑6号院,朝阳-来广营-秋实街,116.427979,40.045276,60000,↑0.14%,0,0,公寓,1.75元/平米/月,10000m²,620户,1996年,60,2,40%(高),北京城建集团有限责任公司,北京城承物业管理有限责任公司,
康营家园B区,朝阳-来广营-康营东路,116.554442,40.041661,34000,——,0,21,暂无数据,0.80元/平米/月,480000m²,816户,2010年,地下车库,1.8,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理,
京旺家园,朝阳-来广营-南皋路,116.533127,40.017089,24301,——,0,4,公寓,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,10%(低),北京德成兴业房地产开发有限公司,北京华特物业管理有限公司,
康营家园12期,朝阳-来广营-兰花苑南路,116.541853,40.043025,63000,↓0.47%,0,115,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,暂无数据,天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
康营家园13期,朝阳-来广营-香江北路,116.553131,40.042287,45161,——,0,15,暂无数据,暂无数据,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,房修一公司,
康营家园14期,朝阳-来广营-兰花苑南路,116.544155,40.042736,63000,↓0.47%,0,50,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
康营家园15期,朝阳-来广营-兰花苑东路,116.547363,40.04293,63000,↓0.47%,0,149,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
康营家园17期,朝阳-来广营-香江北路,116.547679,40.038778,63000,↓0.47%,0,169,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,北京市孙河物业管理有限公司,
康营家园23期,朝阳-来广营-香江北路,116.548157,40.040505,63000,↓0.47%,0,112,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
康营家园24期,朝阳-来广营-康营家园中街,116.544447,40.04048,63000,↓0.47%,0,96,暂无数据,1.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
康营家园29期,朝阳-来广营-康营南路,116.551016,40.039001,63000,↓0.47%,0,75,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理公司,
康营家园32期,朝阳-来广营-香江北路,116.544459,40.03904,63000,↓0.47%,0,22,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,北京市孙河物业管理有限公司,
康营家园5区,朝阳-来广营-兰花苑南路,116.54733,40.043989,63000,↓0.47%,0,106,暂无数据,0.85元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,房修一公司,
康营家园7期,朝阳-来广营-兰花苑西路,116.541845,40.044474,63000,↓0.47%,0,90,暂无数据,3.50元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,30%(一般),天鸿集团，北京宝晟住房股份有限公司,房修一公司,
康营家园A区,朝阳-来广营-康营东路,116.550459,40.043097,63000,↓0.47%,0,49,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.8,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理员公司,
康营家园C区,朝阳-来广营-康营东路,116.552195,40.042197,63000,↓0.47%,0,6,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.8,30%(一般),天鸿集团，北京宝晟住房股份有限公司,北京市孙河物业管理有限公司,
马泉营三区,朝阳-来广营-香江北路,116.511811,40.044898,32558,↓5.40%,0,10,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,33%(一般),北京城建房地产开发有限公司,北京亿宏达盛物业有限公司,
丽苑小区(马泉营四区),朝阳-来广营-香江北路,116.513562,40.041833,34883,↓1.32%,0,4,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,33%(一般),北京城建房地产开发有限公司,暂无数据,
