北京新天地(东区),朝阳-管庄-朝阳路5号,116.613665,39.920763,56340,↓1.80%,1047,473,暂无数据,1.98元/平米/月,610000m²,5000户,2004年,3250个
汇鸿家园,朝阳-管庄-常营南路50号,116.592594,39.924575,55689,↓0.92%,21,67,暂无数据,1.60元/平米/月,170000m²,3000户,2004年,490多个车位,2.44,30%(一般),北京市国土资源和房屋管理局住宅合作社,北京汇荣嘉和物业管理公司,
建东苑东区,朝阳-管庄-管庄路,116.590548,39.922418,46530,↓0.74%,46,4,暂无数据,0.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,3.2,30%(一般),北京城建兴华地产有限公司,北京市双桥康居物业管理中心,朝阳实验二小管庄校区,
康惠园二号院,朝阳-管庄-双桥路,116.588407,39.911234,42022,↓1.09%,15,51,暂无数据,1.85元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金海燕物业管理有限公司,
东会新村,朝阳-管庄-双桥东路1号,116.605352,39.913852,50550,↑3.30%,35,50,暂无数据,0.50元/平米/月,暂无数据,540户,1998年,收费,2.2,30%(一般),北方万坤置业有限公司,北京顺长物业管理中心,
连心园,朝阳-管庄-常新南路,116.614813,39.92605,34000,↓22.46%,1,72,暂无数据,暂无数据,暂无数据,暂无数据,2005年,150元/车位/月,3.6,30%(一般),北京亿城山水房地产开发有限公司,居民自理,
朗廷,朝阳-管庄-朝阳路,116.604757,39.917091,40025,↑0.57%,0,4,暂无数据,2.80元/平米/月,暂无数据,暂无数据,2008年,暂无数据,2.5,35%(一般),北京东方旺盛商贸中心,北京铭致置地物业管理有限公司,
康惠园五号院,朝阳-管庄-双桥路,116.584821,39.90945,44275,↓1.17%,0,6,暂无数据,1.90元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金海燕物业管理有限公司,
管庄北一里小区,朝阳-管庄-管庄路,116.597697,39.925234,49700,↓0.60%,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
京烟宿舍小区,朝阳-管庄-朝阳路,116.587876,39.920607,54687,↓3.29%,6,0,暂无数据,0.30元/平米/月,暂无数据,暂无数据,1985年,暂无数据,暂无数据,30%(一般),北京烟厂,居委会代管物业,
双会小区,朝阳-管庄-双桥东路1号,116.605726,39.914339,50414,↓2.68%,1,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
管庄北二里小区,朝阳-管庄-常营南路45号,116.59965,39.926997,56204,↓3.82%,26,27,公寓,2.30元/平米/月,暂无数据,暂无数据,2013年,暂无数据,3,37%(一般),北京宝成置业有限责任公司,北京鸿鹄物业管理有限公司,
馨岛苑,朝阳-管庄-朝阳路,116.6068311067,39.9199980859,42287,↓7.43%,4,5,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
管庄西里北内小区,朝阳-管庄-管庄路,116.596356,39.920571,48383,↑3.63%,2,8,暂无数据,0.30元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城建集团,北京城建物业管理有限公司,朝阳实验二小管庄校区,
荟万鸿社区,朝阳-管庄-常营南路,116.591576,39.924371,49411,↑0.62%,25,8,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,北京艾维克物业管理有限责任公司,
瑞祥里西区,朝阳-管庄-瑞祥路,近朝阳路,116.617308,39.915913,41596,↓7.69%,28,11,暂无数据,1.15元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京顺长物业管理有限公司,
北京新天地(西区),朝阳-管庄-朝阳路7号,116.610808,39.92086,57646,↑0.85%,58,47,暂无数据,1.98元/平米/月,暂无数据,暂无数据,2004年,暂无数据,3.1,30%(一般),保利，首开，兴泰置业有限公司,北京天诚广厦物业管理有限公司,
康惠园三号院,朝阳-管庄-双桥路,116.584774,39.911132,41157,↓4.96%,81,48,暂无数据,1.85元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京金隅嘉业房地产开发有限公司,北京金海燕物业管理有限公司,
管庄东里,朝阳-管庄-管庄路,116.598753,39.923905,51013,↑1.67%,13,5,暂无数据,0.30元/平米/月,60000m²,1200户,1986年,400,暂无数据,暂无数据,卓远地产,北京城建物业管理有限责任公司,朝阳实验二小管庄校区,
建东苑西区,朝阳-管庄-朝阳路,116.588392,39.922197,47986,↓1.85%,40,34,暂无数据,0.60元/平米/月,190710m²,3000户,2003年,493个停车位,3.2,30%(一般),北京城建兴华地产有限公司,北京市双桥康居物业管理中心,朝阳实验二小管庄校区,
四建小区,朝阳-管庄-管庄路,116.597298,39.922318,51604,——,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),金隅集团,居民自理,
东军庄,朝阳-管庄-朝阳路,116.627444,39.923116,33720,——,0,0,暂无数据,0.30元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,30%(一般),北京太合日盛房地产开发有限责任公司,北京长城物业管理有限公司,
荟康苑,朝阳-管庄-朝阳路,116.591856,39.924902,54726,↓2.72%,0,12,暂无数据,0.50元/平米/月,暂无数据,756户,1997年,很多,2,30%(一般),北京市国土资源和房屋管理局住宅合作社,北京汇荣嘉合物业管理有限公司,
北京卷烟厂西宿舍区,朝阳-管庄-皂君庙路,116.588625,39.920493,61102,——,0,0,公寓,0.55元/平米/月,630000m²,840户,1986年,150,1.8,25%(一般),北京卷烟厂,单位自管,
管庄小区,朝阳-管庄-管庄路,116.595992,39.919885,41855,——,0,17,暂无数据,0.60元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.6,45%(高),北京市房顺房地产开发有限责任公司,北京城建物业管理有限公司,朝阳实验二小管庄校区,
众亿嘉园,朝阳-管庄-朝阳路,116.607563,39.922137,40933,↓0.19%,0,24,暂无数据,2.35元/平米/月,暂无数据,暂无数据,2010年,200,暂无数据,30%(一般),全国人大,北京金盛基业物业管理有限公司,
管庄新村,朝阳-管庄-塔营北街,116.605889,39.909116,35714,——,0,6,暂无数据,1.50元/平米/月,暂无数据,暂无数据,2010年,暂无数据,2.82,30%(一般),北京顺长房地产经纪有限公司,顺长物业管理有限公司,
京通苑阳光花苑,朝阳-管庄-朝阳路,116.603781,39.919584,46498,——,0,1,公寓,1.00元/平米/月,暂无数据,暂无数据,2001年,暂无数据,4,50%(高),北京巨安金润房地产开发有限公司,阳光物业管理公司,
沁园,朝阳-管庄-东十里堡路5号,116.61006,39.925673,34311,——,0,3,暂无数据,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,暂无数据,居民自理,
管庄东里建材院,朝阳-管庄-朝阳路,116.604093,39.922032,50626,↑34.60%,0,0,暂无数据,0.30元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,33%(一般),北京城建集团有限责任公司,北京城建物业管理有限责任公司,朝阳实验二小建东苑校区,
