和平街西苑,朝阳-和平里北-和平里西街,116.423372,39.971565,82017,↓4.95%,135,64,普通住宅,0.80元/平米/月,暂无数据,暂无数据,1998年,暂无数据,3.5,20%(一般),北京嘉铭房地产开发有限责任公司,北京乐都物业管理有限公司,
华严北里9号院,朝阳-和平里北-民族园西路,116.389507,39.989055,78626,↓0.72%,11,8,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
和平街十四区,朝阳-和平里北-和平里东街,116.434295,39.967362,77420,↓5.42%,76,43,暂无数据,1.10元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.3,10%(低),北京城建房地产开发有限公司,北京首华物业管理有限公司,
和平街八区,朝阳-和平里北-和平西街,116.426399,39.969587,89469,↑7.44%,20,5,暂无数据,1.20元/平米/月,2000m²,2000户,1980年,150,1.3,10%(低),北京城建房地产开发有限公司,北京首华物业管理有限公司,
和平街十二区,朝阳-和平里北-和平街,116.434152,39.972014,78737,↑0.20%,94,34,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1982年,免费,1.3,10%(低),北京城建房地产开发有限公司,北京国天物业管理发展有限公司,和平街中心小学,
建研院,朝阳-和平里北-小黄庄路9号,116.4205129,39.97276538,111136,↑0.78%,11,34,暂无数据,暂无数据,暂无数据,暂无数据,2000年,120/月,1.25,30%(一般),无,建设研究院,
煤科院南小区,朝阳-和平里北-青年沟路,116.43568,39.968582,84228,——,0,0,暂无数据,1.10元/平米/月,暂无数据,暂无数据,1990年,充足,2.1,30%(一般),北京燕都立民开发有限公司,北京同惠物业管理有限公司,
兴化路2号院,朝阳-和平里北-兴化路2号,116.421049,39.969494,73938,↓1.14%,0,5,暂无数据,0.80元/平米/月,500m²,1500户,2015年,150,2,10%(低),北京城建集团,北京乐都物业管理中心,朝师附小和平街校区,
煤炭科技苑小区,朝阳-和平里北-和平街十三区34号,116.433453,39.968725,80147,——,0,1,暂无数据,2.70元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京同惠物业管理责任有限公司,
小黄庄前街2号院,朝阳-和平里北-小黄庄前街2号,116.423231,39.96991,67886,↓7.89%,0,7,暂无数据,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,北京乐都物业管理中心,
华严北里4号院,朝阳-和平里北-民族园西路,116.391843,39.98909,82500,↓2.22%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
和平里北街甲5号院,朝阳-和平里北-和平里北街甲5号,116.437981,39.966186,73713,↓1.49%,3,7,暂无数据,1.15元/平米/月,2000m²,700户,1981年,150,2.3,33%(一般),无,单位自管物业,
青年沟路23号院,朝阳-和平里北-青年沟23号,116.4229,39.969035,98486,↑2.07%,20,18,暂无数据,1.90元/平米/月,8000m²,500户,2001年,900,2.5,10%(低),暂无数据,北京乐都物业管理有限公司,
和平西街1号院,朝阳-和平里北-和平西街,116.423349,39.973928,77199,↑12.73%,39,21,暂无数据,2.20元/平米/月,暂无数据,暂无数据,1995年,暂无数据,2.2,12%(低),北京城建房地产开发有限公司,北京首华物业管理有限公司,朝师附小和平街校区,
小黄庄前街3号院,朝阳-和平里北-小黄庄前街3号,116.421975,39.970658,78793,↑4.54%,11,11,暂无数据,暂无数据,暂无数据,暂无数据,1986年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
小黄庄前街8号院,朝阳-和平里北-小黄庄甲8号,116.420853,39.970911,113817,↓1.45%,13,6,暂无数据,1.50元/平米/月,暂无数据,暂无数据,1996年,暂无数据,暂无数据,暂无数据,暂无数据,北京安贞大厦物业管理有限公司,
