万科大都会,朝阳-国贸CBD-东三环中路,116.469262,39.911639,82618,↓6.90%,122,18,暂无数据,23.00元/平米/月,42000m²,69户,2011年,170,6.4,15%(低),北京万信投资发展有限公司,万科物业,
建外SOHO,朝阳-国贸CBD-东三环中路39号,116.467056274414,39.911434173584,5197,↓66.14%,20,1,公寓、别墅、其它,东区：公寓4.5元/月/平米，商务楼5.5元/月/平米；西区,700000m²,1800户,2006年,2000,3.5,33%(一般),北京红石建外房地产开发有限公司,东区宾至物业，西区港铁物业,
北京嘉里公寓,朝阳-国贸CBD-光华路1号,116.467032,39.919802,50000,——,0,57,公寓,暂无数据,80485m²,195户,2004年,850,暂无数据,30%(一般),北京嘉奥房地产开发有限公司,北方复瑞(北京)物业管理有限公司,
新城国际公寓二期雯园,朝阳-国贸CBD-金桐东路,116.463482,39.924859,116103,——,0,7,公寓,暂无数据,320000m²,1860户,2002年,1800,3.05,45%(高),北京万置房地产开发有限公司,第一太平戴维斯物业顾问(北京)有限公司,
南朗家园,朝阳-国贸CBD-建国路,116.473152,39.912076,76549,——,0,0,暂无数据,3.00元/平米/月,43000m²,3500户,1992年,暂无数据,1.96,20%(一般),暂无数据,暂无数据,
山水铂宫,朝阳-国贸CBD-朝阳门外大街3号,116.454413,39.930718,78942,——,0,0,暂无数据,2.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,35%(一般),北京绿都源房地产开发有限公司,暂无数据,
首创天禧,朝阳-国贸CBD-朝阳路139号,116.472356,39.924966,172374,——,0,1,公寓,2.16元/平米/月,暂无数据,暂无数据,2013年,暂无数据,暂无数据,暂无数据,首创朝阳房地产发展有限公司,北京仲量联行物业管理服务有限公司,
银泰中心(柏悦居),朝阳-国贸CBD-建外大街2号，东三环国贸桥西南角,116.4657624096,39.913097503281,122664,——,0,9,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
北京耀辉国际城,朝阳-国贸CBD-西大望路,116.485464,39.912958,70000,——,0,3,暂无数据,暂无数据,暂无数据,暂无数据,2008年,暂无数据,暂无数据,20%(一般),北京天鸿宝业房地产股份有限公司,暂无数据,
西大望路北小区,朝阳-国贸CBD-西大望路,116.485592,39.920547,65044,↑21.07%,0,4,暂无数据,暂无数据,暂无数据,暂无数据,2012年,暂无数据,暂无数据,31%(一般),北京柏宏房地产开发有限公司,高地物业,
新城国际公寓一期,朝阳-国贸CBD-金桐东路,116.463269,39.924543,5227,↓82.77%,0,0,公寓,0.50元/平米/月,暂无数据,暂无数据,2015年,暂无数据,3.05,42%(高),北京万置房地产开发有限公司,第一太平戴维斯物业顾问(北京)有限公司,
翰林阁,朝阳-国贸CBD-建国路乙108号,116.471664,39.912672,105000,↓13.31%,0,0,暂无数据,暂无数据,暂无数据,暂无数据,2015年,暂无数据,2,30%(一般),翰林阁房地产(北京)有限公司,北京雅诗阁物业管理有限公司,
合成小区,朝阳-国贸CBD-朝阳路,116.491109,39.923306,67500,↓0.44%,0,0,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京住总房地产开发有限公司,街道委员会物业,
国贸DNA,朝阳-国贸CBD-东四环中路,116.494273,39.918166,58050,↓16.59%,0,8,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
建国路100号小区,朝阳-国贸CBD-建国路100号,116.474075,39.913471,83659,↑6.53%,7,13,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2.1,30%(一般),暂无数据,暂无数据,
光华路小区,朝阳-国贸CBD-光华路北2号,116.47431,39.919584,65294,↓17.02%,2,5,暂无数据,0.50元/平米/月,暂无数据,暂无数据,1990年,1
光华欣居,朝阳-国贸CBD-光华路6号,116.479153,39.918948,84602,↑25.22%,3,59,暂无数据,1.60元/平米/月,19300m²,暂无数据,1986年,充足,暂无数据,30%(一般),北京东方海体置业有限公司,铁印准物业,
光华路15号院,朝阳-国贸CBD-光华路15号,116.477626,39.920028,64164,↓13.70%,1,0,暂无数据,5.10元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,25%(一般),北京鑫丰物业发展有限公司,仲量联行,
金台西路2号院,朝阳-国贸CBD-金台西路2号,116.481543,39.927403,84498,↑2.60%,2,18,暂无数据,0.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,1.25,暂无数据,北京住总房地产开发有限公司,金台物业,呼家楼中心小学,
延静西里,朝阳-国贸CBD-朝阳北路,116.489865,39.925595,63958,↓3.90%,76,45,暂无数据,1.95元/平米/月,暂无数据,暂无数据,2001年,暂无数据,暂无数据,30%(一般),北京住总房地产开发有限公司,三园物业管理有限公司,
恋日国际,朝阳-国贸CBD-南郎家园18号,116.471464,39.911153,77029,↑0.20%,21,15,暂无数据,6.60元/平米/月,暂无数据,暂无数据,2002年,暂无数据,4.9,30%(一般),北京华野投资管理有限公司,中航大北物业,
呼家楼南里,朝阳-国贸CBD-朝阳路,116.474523,39.923884,90650,↑6.10%,9,80,暂无数据,0.50元/平米/月,5803m²,800户,2015年,50,2,30%(一般),北京城建房地产开发有限公司,单位自管物业,呼家楼中心小学,
南郎家园,朝阳-国贸CBD-建国路,116.473152,39.912076,86890,↑0.02%,25,133,暂无数据,1.50元/平米/月,42000m²,3500户,2002年,150,1.96,30%(一般),北京华野投资管理有限公司,街道办事处委员会,
